поколение,блок,код,название/гипотеза,данные,постановка,исходный_вердикт,статус_после_сверки_gen3,артефакты
gen1-2,TOY_MODEL,T01,Калибровочная инвариантность наблюдаемых и роль некоммутативности,-,"Решётка по (x,mu), вычисление Tr(F rho) до/после случайных калибровочных преобразований; отдельный контроль полного gauge-трансформа",all_gauge_invariant_within_tol=True; max|ΔΛ|~1.11e-15 (сеточный) и ~1.05e-15 (full gauge). Значит наблюдаемые корректны численно до машинной точности,Не пересматривался: внутренняя валидация формализма; после gen3 формализм понижен до организующего словаря,research_programm_summary.csv; clean_experiments/
gen1-2,TOY_MODEL,T02,"Wave-1: синусоидальный закон Lambda_matter, эрмитизация и state-dependence",-,"Скан угла phi, чистых/смешанных состояний и пространственных профилей; контроль симметризации кривизны","fraction_pass_all=1.0 (120/120), ошибки ~1e-16, min R2=1.0. Закон Lambda_matter ~ sin(phi) подтверждён как точный в данном секторе",Не пересматривался: внутренняя валидация формализма; после gen3 формализм понижен до организующего словаря,research_programm_summary.csv; clean_experiments/
gen1-2,TOY_MODEL,T03,"Замыкание баланса на расширенной базе (t,x,mu)",-,Многослойная эволюция с явными вертикальными и горизонтальными потоками и источниками; контроль остатка уравнения баланса,all_balance_ok_1e-10=True; max residual ~4.44e-16. Баланс замыкается на машинной точности,Не пересматривался: внутренняя валидация формализма; после gen3 формализм понижен до организующего словаря,research_programm_summary.csv; clean_experiments/
gen1-2,TOY_MODEL,T04,"Когерентность как лучший предиктор вертикальной динамики, чем |Lambda|",-,Робастные серии по eta0 и сиду; сравнение предсказательной силы признаков coherence vs |Lambda|,"fraction_runs_coh_r2_better=1.0, mean ΔR2~0.0483, mean Δcorr~0.299. Когерентность систематически информативнее",Не пересматривался: внутренняя валидация формализма; после gen3 формализм понижен до организующего словаря,research_programm_summary.csv; clean_experiments/
gen1-2,TOY_MODEL,T05,Устойчивость синусоидального закона к параметрическим вариациям,-,Параметрический sweep по k и другим настройкам; сравнение численного и аналитического закона,fraction_cases_max_rel_error_lt_1e-12=1.0; max rel error~6.29e-15. Закон очень устойчив,Не пересматривался: внутренняя валидация формализма; после gen3 формализм понижен до организующего словаря,research_programm_summary.csv; clean_experiments/
gen1-2,TOY_MODEL,T06,Инвариантность при фиксированной суммарной фазе RG-профиля,-,Сравнение profile-семейств при одинаковой суммарной фазе; анализ расхождения Lambda,fraction_cases_spread_lt_1e-12=1.0; max spread~8.44e-15. Поддержка фазовой (голономной) интерпретации,Не пересматривался: внутренняя валидация формализма; после gen3 формализм понижен до организующего словаря,research_programm_summary.csv; clean_experiments/
gen1-2,TOY_MODEL,T07,G2 toy-chain: термодинамический отклик Clausius по epsilon,-,Линейные регрессии dS_hor на dQ_in в серии значений epsilon и сидов,"frac_global_positive_slope=1.0; mean slope~0.644; mean R2~0.246. Положительный отклик стабилен, но качество аппроксимации умеренное",Не пересматривался: внутренняя валидация формализма; после gen3 формализм понижен до организующего словаря,research_programm_summary.csv; clean_experiments/
gen1-2,TOY_MODEL,T08,G2 single-qubit: границы равновесного приближения по профилям omega(mu),-,"Робастный профиль-скан (constant/gaussian/oscillating), сравнение R2 и T_eff","oscillating — худший в 100% случаев; mean R2: constant~0.938, gaussian~0.336, oscillating~0.0473. Это маркер выхода из квазистатики",Не пересматривался: внутренняя валидация формализма; после gen3 формализм понижен до организующего словаря,research_programm_summary.csv; clean_experiments/
gen1-2,TOY_MODEL,T09,H1: рост размерности слоёв + голографическое обрезание,-,"Экспоненциальный рост dim(H_mu), сравнение усечённых/неусечённых оценок и trace-контролей",fraction_pass_all=1.0; min stability_gain~1.766; median~3.931; trace residual ~2e-16. Регуляризация работает устойчиво,Не пересматривался: внутренняя валидация формализма; после gen3 формализм понижен до организующего словаря,research_programm_summary.csv; clean_experiments/
gen1-2,TOY_MODEL,T10,H2: континуумный предел закона сохранения,-,Экстраполяция интерсепта остатка и качество fit в робастном наборе,fraction_pass_all=1.0; scaled criterion=100%; min R2~0.603. Континуумная экстраполяция согласована,Не пересматривался: внутренняя валидация формализма; после gen3 формализм понижен до организующего словаря,research_programm_summary.csv; clean_experiments/
gen1-2,TOY_MODEL,T11,H3: уточнение фазы Берри (снятие риска R3),-,"Тонкие сетки по шагу и скан углов theta, сравнение с аналитической фазой",pass_all=True; max finest-grid error~1.52e-5 при пороге 3e-3. Отклонения на грубых сетках — численный артефакт,Не пересматривался: внутренняя валидация формализма; после gen3 формализм понижен до организующего словаря,research_programm_summary.csv; clean_experiments/
gen1-2,TOY_MODEL,T12,H4: статистическая связь Lambda_matter с эффективным источником,-,"Сборка wave1+G2 датасета, repeated holdout, permutation test, bootstrap sign-consistency",fraction_pass_all=1.0; median test R2~0.357 (min~0.314); max perm p~0.0099; median sign consistency~0.947. Связь статистически значима в прокси-постановке,Не пересматривался: внутренняя валидация формализма; после gen3 формализм понижен до организующего словаря,research_programm_summary.csv; clean_experiments/
gen1-2,TOY_MODEL,T13,H4b: геометрия пространства теорий и некоммутативность RG,-,"FS/QGT и response-метрики на сетке параметров, plus gauge/coarse robust controls","success_rate=1.0; min corr(source,comm)~0.9928; min |corr(source,FS)|~0.9928; gauge errors <=1e-12. Геометрическая связь очень сильная",Не пересматривался: внутренняя валидация формализма; после gen3 формализм понижен до организующего словаря,research_programm_summary.csv; clean_experiments/
gen1-2,TOY_MODEL,T14,H5: встраивание полей материи (fermion+gauge),-,"Решёточный фермион+линк-гейдж гамильтониан; проверки [Q,H], локальной непрерывности и дрейфа полного заряда","success_rate=1.0; max ||[Q,H]||=0; max continuity residual~9.09e-17; max charge drift~1.33e-15. Минимальный matter-сектор согласован",Не пересматривался: внутренняя валидация формализма; после gen3 формализм понижен до организующего словаря,research_programm_summary.csv; clean_experiments/
gen1-2,TOY_MODEL,T15,F1: эмерджентная фрактальность при балансе epsilon~1 (минимум вертикального потока),-,"Two-scale GKSL скан epsilon в [0.01,10] с метриками vertical_flow_abs_mean, source_abs_mean, d_s_effrank_mean.","epsilon*=1.00; d_s(epsilon*)=2.8258 (нецелая), d_s(0.01)=1.0179, d_s(10)=2.9524; PASS_ALL=True. Поддерживает режимную картину: классика -> фрактальный аттрактор -> насыщение.",Не пересматривался: внутренняя валидация формализма; после gen3 формализм понижен до организующего словаря,research_programm_summary.csv; clean_experiments/
gen1-2,TOY_MODEL,T16,F2: ковариантность секции у fixed-point и совпадение Delta с линейным RG-прогнозом,-,"Тест ||Psi(lambda*mu)-lambda^(-Delta)U Psi(mu)||^2 для lambda={2,3,4,5}; Delta_measured из fit и Delta_predicted=-0.5 Tr(M).","При epsilon*=1.00: delta_covariance_max=4.15e-30, R2=1.0, Delta_measured=1.85 и Delta_predicted=1.85; PASS_ALL=True. Вне fixed-point residual растёт, как и ожидалось.",Не пересматривался: внутренняя валидация формализма; после gen3 формализм понижен до организующего словаря,research_programm_summary.csv; clean_experiments/
gen1-2,TOY_MODEL,T17,F3: Lambda_matter геометрически кодирует избыточную фрактальную размерность (D_f-d_top),-,"Независимо вычислены Lambda_matter из Tr(F_phys rho) и D_f из спектра сигнала Tr(rho^2) на epsilon-сетке [0.01,10]; затем корреляция и регрессия.","corr(Lambda_matter, D_f-d_top)=0.923694, slope=0.308032>0, R2=0.853211, p=3.748e-4; corr(Lambda_coh, D_f-d_top)=0.926734; PASS_ALL=True.",Не пересматривался: внутренняя валидация формализма; после gen3 формализм понижен до организующего словаря,research_programm_summary.csv; clean_experiments/
gen1-2,TOY_MODEL,T18,"F4 (финал через F4b): фрактальность кодируется голономией межмасштабной связности, а не локальным трюком",-,"F4b: треугольные петли в mu-пространстве, Delta_order, абляции A/B/D, bootstrap по epsilon*, gauge-robust проверки, диагностика сидов и согласие двух D_f-оценивателей.","Pearson corr=0.970675, Spearman=0.936364, perm_p=1.9996e-4, partial corr|log(epsilon)=0.651518, epsilon* CI=[1.00,1.15], failed_seed_share=0.22; PASS_ALL=True. Абляции A/B дают константную метрику (co",Не пересматривался: внутренняя валидация формализма; после gen3 формализм понижен до организующего словаря,research_programm_summary.csv; clean_experiments/
gen1-2,TOY_MODEL,T19,"F6: SOC-подпись лавин DeltaLambda_coh с показателем, предсказанным из RG-экспоненты F2",-,"SOC toy-динамика в mu-пространстве (slow drive + threshold toppling), fit степенного хвоста DeltaLambda_coh на epsilon-сетке; alpha_pred=1+1/y_rel из F2.","При epsilon*=1.00: alpha_pred=1.540541, alpha_measured=1.559421 (ошибка 1.226%), fit R2=0.980464, dynamic_range_median=364.79; PASS_ALL=True. Robustness: при transfer_fraction=0.90..0.99 alpha остаётс",Не пересматривался: внутренняя валидация формализма; после gen3 формализм понижен до организующего словаря,research_programm_summary.csv; clean_experiments/
gen1-2,TOY_MODEL,T20,T20: Einstein-in-a-box (synthetic) — в инерционном диапазоне выполняется квазилинейная связь Lambda~Pi,-,"Синтетический 2D каскад; полосы масштабов, rho_mu(t) из rolling covariance, G_fwd/G_back, F=Herm(i[...]), Lambda_b=Re Tr(F rho), Pi_b=mean(|k|E_k); binned regression по forcing/inertial/dissipation.","Инерционный aggregate: R2_binned=0.726961, slope_binned>0, PASS=True; forcing/dissipation показывают более слабую/ломаную связь. Это подтверждает работоспособность Einstein-box протокола на контролиру",РЕТРАГИРОВАН (gen3 B1): корреляция Λ~Π вложена общим латентным драйвером; тест был positive control пайплайна,research_programm_summary.csv; clean_experiments/
gen1-2,ATMOSPHERE_DATA,A01,M1: макроскопическая обнаружимость Lambda в ERA5-влагобюджете,-,"WPWP (81x161, 2017-2019, шаг 6ч), residual closure: сравнение ctrl vs ctrl+Lambda, blocked CV (6 fold), ridge alpha=1e-6, permutation n=140","oof_gain_frac=0.003412 (~0.34%); perm_p_value=0.00709; split_gain_median=0.00439; pass_all=True. Эффект малый, но статистически значимый и воспроизводимый","Сигнал +0.34% MAE не пересматривался; gen3 B7 закрыл вопрос влагобюджета отрицательно (инкремент −0.018, p=0.92)",research_programm_summary.csv; clean_experiments/
gen1-2,ATMOSPHERE_DATA,A02,M2: структурная консистентность (Lambda_h vs Lambda_v) и плацебо-фальсификация,-,Сопоставление независимых горизонтальной и вертикальной реконструкций Lambda + AR(24) placebo-суррогаты (n_synth=100),"corr(Lambda_h,Lambda_v): r=0.99631, R2=0.99263; p_placebo=0.0 для lambda_h и lambda_v; real_gain ~0.0034 выше хвоста синтетики. Сигнал структурно устойчив и не сводится к шуму","Сигнал +0.34% MAE не пересматривался; gen3 B7 закрыл вопрос влагобюджета отрицательно (инкремент −0.018, p=0.92)",research_programm_summary.csv; clean_experiments/
