блок,код_эксперимента,ветка,проверяемая_гипотеза,зачем_для_теории_простыми_словами,постановка_компактно,результаты_и_интерпретация,ограничения
TOY_MODEL,T01,A,Калибровочная инвариантность наблюдаемых и роль некоммутативности,"Показать, что наши ключевые скаляры физичны (не зависят от выбора калибровки), иначе вся конструкция источника ненадёжна","Решётка по (x,mu), вычисление Tr(F rho) до/после случайных калибровочных преобразований; отдельный контроль полного gauge-трансформа",all_gauge_invariant_within_tol=True; max|ΔΛ|~1.11e-15 (сеточный) и ~1.05e-15 (full gauge). Значит наблюдаемые корректны численно до машинной точности,Проверено в toy-секторе с конечной размерностью; не доказана общая устойчивость в полноразмерной QFT
TOY_MODEL,T02,B_wave1,"Wave-1: синусоидальный закон Lambda_matter, эрмитизация и state-dependence","Подтвердить, что вклад материи действительно связан с когерентностью и фазовым поворотом RG-потока, а не с артефактом","Скан угла phi, чистых/смешанных состояний и пространственных профилей; контроль симметризации кривизны","fraction_pass_all=1.0 (120/120), ошибки ~1e-16, min R2=1.0. Закон Lambda_matter ~ sin(phi) подтверждён как точный в данном секторе",Это u(2)-toy режим; закон пока не перенесён в реалистичную многополевую модель
TOY_MODEL,T03,D,"Замыкание баланса на расширенной базе (t,x,mu)",Это опора для термодинамического вывода по Джейкобсону: без сохранения нельзя корректно интерпретировать поток тепла/энергии,Многослойная эволюция с явными вертикальными и горизонтальными потоками и источниками; контроль остатка уравнения баланса,all_balance_ok_1e-10=True; max residual ~4.44e-16. Баланс замыкается на машинной точности,Пока дискретная постановка и toy-операторы; непрерывный предел и полная ковариантность требуют доп. проверки (частично закрыто в Exp.10)
TOY_MODEL,T04,E,"Когерентность как лучший предиктор вертикальной динамики, чем |Lambda|","Показать, что источник гравитационно-активного вклада связан именно с квантовой когерентностью",Робастные серии по eta0 и сиду; сравнение предсказательной силы признаков coherence vs |Lambda|,"fraction_runs_coh_r2_better=1.0, mean ΔR2~0.0483, mean Δcorr~0.299. Когерентность систематически информативнее",Эмпирическое сравнение на синтетических траекториях; не строгий аналитический вывод
TOY_MODEL,T05,F,Устойчивость синусоидального закона к параметрическим вариациям,"Проверить, что sin-закон не ломается при смене сетки и параметров",Параметрический sweep по k и другим настройкам; сравнение численного и аналитического закона,fraction_cases_max_rel_error_lt_1e-12=1.0; max rel error~6.29e-15. Закон очень устойчив,Сценарии ограничены выбранным семейством профилей и toy-гамильтонианов
TOY_MODEL,T06,G,Инвариантность при фиксированной суммарной фазе RG-профиля,"Проверить, что важна интегральная фаза, а не конкретная форма профиля",Сравнение profile-семейств при одинаковой суммарной фазе; анализ расхождения Lambda,fraction_cases_spread_lt_1e-12=1.0; max spread~8.44e-15. Поддержка фазовой (голономной) интерпретации,Проверка проведена в ограниченном наборе профилей и параметров
TOY_MODEL,T07,G2_toy_chain,G2 toy-chain: термодинамический отклик Clausius по epsilon,"Понять, есть ли стабильный эффективный термодинамический отклик в цепочечной постановке",Линейные регрессии dS_hor на dQ_in в серии значений epsilon и сидов,"frac_global_positive_slope=1.0; mean slope~0.644; mean R2~0.246. Положительный отклик стабилен, но качество аппроксимации умеренное","Сильная зависимость от модели шума и coarse-graining; это диагностический, а не финальный физический закон"
TOY_MODEL,T08,G2_single_qubit,G2 single-qubit: границы равновесного приближения по профилям omega(mu),"Показать, когда равновесная Clausius-регрессия применима, а когда нет","Робастный профиль-скан (constant/gaussian/oscillating), сравнение R2 и T_eff","oscillating — худший в 100% случаев; mean R2: constant~0.938, gaussian~0.336, oscillating~0.0473. Это маркер выхода из квазистатики","Индикаторный тест, не полный неравновесный вывод; нужен расширенный термодинамический формализм"
TOY_MODEL,T09,H1,H1: рост размерности слоёв + голографическое обрезание,"Проверить, что формализм не разваливается при более реалистичном росте размерности Hilbert-слоёв","Экспоненциальный рост dim(H_mu), сравнение усечённых/неусечённых оценок и trace-контролей",fraction_pass_all=1.0; min stability_gain~1.766; median~3.931; trace residual ~2e-16. Регуляризация работает устойчиво,Пока проверен ограниченный диапазон размеров и параметров; нет прямой привязки к конкретной UV-теории
TOY_MODEL,T10,H2,H2: континуумный предел закона сохранения,"Проверить, что дискретный баланс остаётся согласованным при dt,dmu -> 0",Экстраполяция интерсепта остатка и качество fit в робастном наборе,fraction_pass_all=1.0; scaled criterion=100%; min R2~0.603. Континуумная экстраполяция согласована,"Часть прогонов нарушает жёсткий hard tolerance (83.3%), поэтому формулировка — «подтверждено v1», не окончательное доказательство"
TOY_MODEL,T11,H3,H3: уточнение фазы Берри (снятие риска R3),Отделить физический эффект от дискретизационных артефактов,"Тонкие сетки по шагу и скан углов theta, сравнение с аналитической фазой",pass_all=True; max finest-grid error~1.52e-5 при пороге 3e-3. Отклонения на грубых сетках — численный артефакт,Тест охватывает выбранные контуры/углы; более общие траектории в параметрическом пространстве не исчерпаны
TOY_MODEL,T12,H4,H4: статистическая связь Lambda_matter с эффективным источником,"Проверить, есть ли устойчивый сигнал связи с макро-прокси, а не случайная корреляция","Сборка wave1+G2 датасета, repeated holdout, permutation test, bootstrap sign-consistency",fraction_pass_all=1.0; median test R2~0.357 (min~0.314); max perm p~0.0099; median sign consistency~0.947. Связь статистически значима в прокси-постановке,"Это прокси-модель, не прямая идентификация с наблюдаемой космологической постоянной"
TOY_MODEL,T13,H4b,H4b: геометрия пространства теорий и некоммутативность RG,Проверить геометрический механизм: источник должен коррелировать с кривизной/некоммутативностью,"FS/QGT и response-метрики на сетке параметров, plus gauge/coarse robust controls","success_rate=1.0; min corr(source,comm)~0.9928; min |corr(source,FS)|~0.9928; gauge errors <=1e-12. Геометрическая связь очень сильная",Метрики построены в toy-пространстве теорий; нужна проверка на более реалистичных пространствах связей
TOY_MODEL,T14,H5,H5: встраивание полей материи (fermion+gauge),Сделать шаг от абстрактной rho к явному matter-сектору с законами сохранения,"Решёточный фермион+линк-гейдж гамильтониан; проверки [Q,H], локальной непрерывности и дрейфа полного заряда","success_rate=1.0; max ||[Q,H]||=0; max continuity residual~9.09e-17; max charge drift~1.33e-15. Минимальный matter-сектор согласован",Это минимальная модель (не полный набор полей Стандартной модели); динамика и калибровочная группа пока упрощены
TOY_MODEL,T15,F1,F1: эмерджентная фрактальность при балансе epsilon~1 (минимум вертикального потока),"Зафиксировать базовое следствие программы: фрактальная размерность возникает из баланса геометрии/диссипации, а не задаётся заранее.","Two-scale GKSL скан epsilon в [0.01,10] с метриками vertical_flow_abs_mean, source_abs_mean, d_s_effrank_mean.","epsilon*=1.00; d_s(epsilon*)=2.8258 (нецелая), d_s(0.01)=1.0179, d_s(10)=2.9524; PASS_ALL=True. Поддерживает режимную картину: классика -> фрактальный аттрактор -> насыщение.",d_s оценён через effective-rank proxy в toy-модели; для статьи полезно продублировать полноспектральным оценивателем.
TOY_MODEL,T16,F2,F2: ковариантность секции у fixed-point и совпадение Delta с линейным RG-прогнозом,"Показать, что в точке баланса работает масштабная ковариантность, а показатель степени согласован с геометрией RG-потока.","Тест ||Psi(lambda*mu)-lambda^(-Delta)U Psi(mu)||^2 для lambda={2,3,4,5}; Delta_measured из fit и Delta_predicted=-0.5 Tr(M).","При epsilon*=1.00: delta_covariance_max=4.15e-30, R2=1.0, Delta_measured=1.85 и Delta_predicted=1.85; PASS_ALL=True. Вне fixed-point residual растёт, как и ожидалось.",Проверка выполнена в toy-section постановке; для расширения нужна проверка на более сложной динамике связности.
TOY_MODEL,T17,F3,F3: Lambda_matter геометрически кодирует избыточную фрактальную размерность (D_f-d_top),Связать уравнение источника из манускрипта с наблюдаемым фрактальным индикатором и сделать Lambda интерпретируемой геометрической величиной.,"Независимо вычислены Lambda_matter из Tr(F_phys rho) и D_f из спектра сигнала Tr(rho^2) на epsilon-сетке [0.01,10]; затем корреляция и регрессия.","corr(Lambda_matter, D_f-d_top)=0.923694, slope=0.308032>0, R2=0.853211, p=3.748e-4; corr(Lambda_coh, D_f-d_top)=0.926734; PASS_ALL=True.","Это сильная статистическая связь, но не полный причинный вывод; интерпретацию поддерживает последующая голономная проверка F4/F4b."
TOY_MODEL,T18,F4_F4b,"F4 (финал через F4b): фрактальность кодируется голономией межмасштабной связности, а не локальным трюком",Проверить независимый от F3 канал: path-ordering/голономия должна предсказывать избыточную размерность и выживать в абляциях.,"F4b: треугольные петли в mu-пространстве, Delta_order, абляции A/B/D, bootstrap по epsilon*, gauge-robust проверки, диагностика сидов и согласие двух D_f-оценивателей.","Pearson corr=0.970675, Spearman=0.936364, perm_p=1.9996e-4, partial corr|log(epsilon)=0.651518, epsilon* CI=[1.00,1.15], failed_seed_share=0.22; PASS_ALL=True. Абляции A/B дают константную метрику (corr неприменим), D ослабляет связь.",Есть доля невалидных сидов (~22%); требуется сохранять seed-diagnostics протокол и контроль качества D_f при переносе на новые данные.
TOY_MODEL,T19,F6,"F6: SOC-подпись лавин DeltaLambda_coh с показателем, предсказанным из RG-экспоненты F2",Замкнуть цепочку F1->F2->F6: из RG-релевантного показателя получить предсказание для лавинной статистики и проверить его на данных симуляции.,"SOC toy-динамика в mu-пространстве (slow drive + threshold toppling), fit степенного хвоста DeltaLambda_coh на epsilon-сетке; alpha_pred=1+1/y_rel из F2.","При epsilon*=1.00: alpha_pred=1.540541, alpha_measured=1.559421 (ошибка 1.226%), fit R2=0.980464, dynamic_range_median=364.79; PASS_ALL=True. Robustness: при transfer_fraction=0.90..0.99 alpha остаётся вблизи класса, но смещается.","Строгой параметрической инвариантности нет (alpha чувствителен к transfer_fraction); cap_power в точке epsilon=1 неидентифицируем, т.к. balance(1)=1."
